0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-01 9.983342e-02 9.983342e-02
2.000000e-01 1.986693e-01 1.986693e-01
3.000000e-01 2.955202e-01 2.955202e-01
4.000000e-01 3.894183e-01 3.894183e-01
5.000000e-01 4.794255e-01 4.794255e-01
6.000000e-01 5.646425e-01 5.646425e-01
7.000000e-01 6.442177e-01 6.442177e-01
8.000000e-01 7.173561e-01 7.173561e-01
9.000000e-01 7.833269e-01 7.833269e-01
1.000000e+00 8.414710e-01 8.414710e-01
1.100000e+00 8.912074e-01 8.912074e-01
1.200000e+00 9.320391e-01 9.320391e-01
1.300000e+00 9.635582e-01 9.635582e-01
1.400000e+00 9.854497e-01 9.854497e-01
1.500000e+00 9.974950e-01 9.974950e-01
1.600000e+00 9.995736e-01 9.995736e-01
1.700000e+00 9.916648e-01 9.916648e-01
1.800000e+00 9.738476e-01 9.738476e-01
1.900000e+00 9.463001e-01 9.463001e-01
2.000000e+00 9.092974e-01 9.092974e-01
2.100000e+00 8.632094e-01 8.632094e-01
2.200000e+00 8.084964e-01 8.084964e-01
2.300000e+00 7.457052e-01 7.457052e-01
2.400000e+00 6.754632e-01 6.754632e-01
2.500000e+00 5.984721e-01 5.984721e-01
2.600000e+00 5.155014e-01 5.155014e-01
2.700000e+00 4.273799e-01 4.273799e-01
2.800000e+00 3.349882e-01 3.349882e-01
2.900000e+00 2.392493e-01 2.392493e-01
3.000000e+00 1.411200e-01 1.411200e-01
3.100000e+00 0.000000e+00 4.158066e-02


0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-01 9.033602e-02 9.033301e-02
2.000000e-01 1.797694e-01 1.797634e-01
3.000000e-01 2.674067e-01 2.673977e-01
4.000000e-01 3.523720e-01 3.523603e-01
5.000000e-01 4.338166e-01 4.338022e-01
6.000000e-01 5.109267e-01 5.109096e-01
7.000000e-01 5.829317e-01 5.829123e-01
8.000000e-01 6.491123e-01 6.490906e-01
9.000000e-01 7.088071e-01 7.087835e-01
1.000000e+00 7.614197e-01 7.613944e-01
1.100000e+00 8.064242e-01 8.063978e-01
1.200000e+00 8.433708e-01 8.433438e-01
1.300000e+00 8.718896e-01 8.718635e-01
1.400000e+00 8.916944e-01 8.916718e-01
1.500000e+00 9.025843e-01 9.025708e-01
1.600000e+00 9.044447e-01 9.044516e-01
1.700000e+00 8.972464e-01 8.972954e-01
1.800000e+00 8.810418e-01 8.811738e-01
1.900000e+00 8.559602e-01 8.562477e-01
2.000000e+00 8.222009e-01 8.227663e-01
2.100000e+00 7.800248e-01 7.810641e-01
2.200000e+00 7.297478e-01 7.315578e-01
2.300000e+00 6.717384e-01 6.747420e-01
2.400000e+00 6.064205e-01 6.111844e-01
2.500000e+00 5.342864e-01 5.415200e-01
2.600000e+00 4.559179e-01 4.664449e-01
2.700000e+00 3.720124e-01 3.867093e-01
2.800000e+00 2.834072e-01 3.031098e-01
2.900000e+00 1.910925e-01 2.164817e-01
3.000000e+00 9.620555e-02 1.276907e-01
3.100000e+00 0.000000e+00 3.762374e-02


0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-01 6.051061e-02 6.055203e-02
2.000000e-01 1.204119e-01 1.204990e-01
3.000000e-01 1.791003e-01 1.792421e-01
4.000000e-01 2.359843e-01 2.361942e-01
5.000000e-01 2.904894e-01 2.907863e-01
6.000000e-01 3.420644e-01 3.424730e-01
7.000000e-01 3.901863e-01 3.907378e-01
8.000000e-01 4.343658e-01 4.350985e-01
9.000000e-01 4.741516e-01 4.751118e-01
1.000000e+00 5.091353e-01 5.103780e-01
1.100000e+00 5.389553e-01 5.405446e-01
1.200000e+00 5.633007e-01 5.653103e-01
1.300000e+00 5.819143e-01 5.844276e-01
1.400000e+00 5.945956e-01 5.977055e-01
1.500000e+00 6.012031e-01 6.050113e-01
1.600000e+00 6.016562e-01 6.062720e-01
1.700000e+00 5.959366e-01 6.014751e-01
1.800000e+00 5.840885e-01 5.906684e-01
1.900000e+00 5.662196e-01 5.739600e-01
2.000000e+00 5.424998e-01 5.515168e-01
2.100000e+00 5.131607e-01 5.235629e-01
2.200000e+00 4.784935e-01 4.903779e-01
2.300000e+00 4.388467e-01 4.522931e-01
2.400000e+00 3.946229e-01 4.096891e-01
2.500000e+00 3.462747e-01 3.629917e-01
2.600000e+00 2.943009e-01 3.126674e-01
2.700000e+00 2.392404e-01 2.592190e-01
2.800000e+00 1.816674e-01 2.031806e-01
2.900000e+00 1.221842e-01 1.451121e-01
3.000000e+00 6.141540e-02 8.559361e-02
3.100000e+00 0.000000e+00 2.521995e-02


0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-01 3.641092e-02 3.672666e-02
2.000000e-01 7.244998e-02 7.308636e-02
3.000000e-01 1.077490e-01 1.087158e-01
4.000000e-01 1.419474e-01 1.432590e-01
5.000000e-01 1.746956e-01 1.763708e-01
6.000000e-01 2.056586e-01 2.077204e-01
7.000000e-01 2.345195e-01 2.369944e-01
8.000000e-01 2.609826e-01 2.639006e-01
9.000000e-01 2.847764e-01 2.881699e-01
1.000000e+00 3.056566e-01 3.095599e-01
1.100000e+00 3.234082e-01 3.278569e-01
1.200000e+00 3.378483e-01 3.428780e-01
1.300000e+00 3.488274e-01 3.544732e-01
1.400000e+00 3.562314e-01 3.625267e-01
1.500000e+00 3.599827e-01 3.669579e-01
1.600000e+00 3.600410e-01 3.677226e-01
1.700000e+00 3.564041e-01 3.648131e-01
1.800000e+00 3.491074e-01 3.582585e-01
1.900000e+00 3.382241e-01 3.481243e-01
2.000000e+00 3.238644e-01 3.345118e-01
2.100000e+00 3.061745e-01 3.175570e-01
2.200000e+00 2.853349e-01 2.974292e-01
2.300000e+00 2.615588e-01 2.743296e-01
2.400000e+00 2.350898e-01 2.484890e-01
2.500000e+00 2.061996e-01 2.201656e-01
2.600000e+00 1.751852e-01 1.896424e-01
2.700000e+00 1.423656e-01 1.572243e-01
2.800000e+00 1.080786e-01 1.232353e-01
2.900000e+00 7.267750e-02 8.801491e-02
3.000000e+00 3.652706e-02 5.191515e-02
3.100000e+00 0.000000e+00 1.529667e-02


